timestamp,type,likesCount,commentsCount,captionLength,hashtagsCount,musicUsed,ReelsDuration,ReelsViewCount
25-01-01T14:37,Carousel,100518,179,69,0,FALSE,,
24-12-30T15:17,Reels,225423,1220,1345,3,TRUE,73.4,1140300
24-12-25T14:03,Carousel,409570,2156,2140,0,FALSE,,
24-12-20T15:49,Carousel,345927,680,2045,0,FALSE,,
24-12-08T12:31,Carousel,697201,601,305,1,FALSE,,
24-12-07T15:40,Reels,312934,1329,108,1,TRUE,48.272,1788803
24-12-06T15:53,Reels,51073,442,251,1,TRUE,30.84,432271
24-12-04T13:39,Carousel,324882,599,80,0,FALSE,,
24-12-03T13:51,Carousel,175004,730,1121,2,FALSE,,
24-12-02T14:26,Carousel,103397,1101,205,1,FALSE,,
24-11-30T15:34,Carousel,244140,412,39,0,FALSE,,
24-11-26T17:51,Carousel,268411,345,1240,1,FALSE,,
24-11-24T14:15,Reels,159356,1339,109,0,TRUE,43.166,952487
24-11-24T13:47,Carousel,243374,615,216,0,FALSE,,
24-11-23T19:46,Reels,157656,2022,33,0,TRUE,660.633,983055
24-11-20T17:58,Static Image,242732,3316,232,3,FALSE,,
24-11-20T08:06,Carousel,349805,638,11,0,FALSE,,
24-11-16T13:41,Carousel,183424,279,214,0,FALSE,,
24-11-15T14:24,Carousel,675715,685,875,0,FALSE,,
24-11-11T17:31,Carousel,1377654,1615,346,0,FALSE,,
24-11-10T07:25,Carousel,819699,600,508,0,FALSE,,
24-10-31T06:53,Carousel,229610,601,722,0,FALSE,,
24-10-23T14:43,Reels,2334663,6497,123,3,TRUE,52.566,13132087
24-10-21T16:48,Reels,835627,2787,1683,3,TRUE,41.266,8904314
24-10-05T08:39,Reels,52263,397,480,0,TRUE,39.76,578830
24-10-04T15:47,Reels,73138,465,149,2,TRUE,64.8,595220
24-10-03T12:21,Carousel,144762,1434,222,2,FALSE,,
24-10-02T14:30,Reels,30144,110,97,1,TRUE,73.8,427010
24-09-29T06:31,Carousel,537266,813,413,0,FALSE,,



